codigo_producto,fecha,cantidad_vendida,promo,feria,lluvia
SINCROCIP,2008-01-01,615,0,0,0
SINCROCIP,2008-02-01,642,1,0,0
SINCROCIP,2008-03-01,549,0,0,0
SINCROCIP,2008-04-01,482,0,0,0
SINCROCIP,2008-05-01,569,0,0,0
SINCROCIP,2008-06-01,539,0,0,0
SINCROCIP,2008-07-01,681,1,0,0
SINCROCIP,2008-08-01,554,0,0,0
SINCROCIP,2008-09-01,971,1,0,1
SINCROCIP,2008-10-01,803,0,0,1
SINCROCIP,2008-11-01,781,0,0,1
SINCROCIP,2008-12-01,461,0,0,0
SINCROCIP,2009-01-01,497,0,0,0
SINCROCIP,2009-02-01,581,0,0,0
SINCROCIP,2009-03-01,628,0,0,0
SINCROCIP,2009-04-01,630,0,1,0
SINCROCIP,2009-05-01,495,0,0,0
SINCROCIP,2009-06-01,491,0,0,0
SINCROCIP,2009-07-01,571,0,0,0
SINCROCIP,2009-08-01,540,0,0,0
SINCROCIP,2009-09-01,913,1,0,1
SINCROCIP,2009-10-01,796,0,0,1
SINCROCIP,2009-11-01,997,1,1,1
SINCROCIP,2009-12-01,716,1,0,0
SINCROCIP,2010-01-01,568,0,0,0
SINCROCIP,2010-02-01,637,0,0,0
SINCROCIP,2010-03-01,560,0,0,0
SINCROCIP,2010-04-01,526,0,0,0
SINCROCIP,2010-05-01,629,0,0,0
SINCROCIP,2010-06-01,673,1,0,0
SINCROCIP,2010-07-01,757,1,1,0
SINCROCIP,2010-08-01,503,0,0,0
SINCROCIP,2010-09-01,811,0,0,1
SINCROCIP,2010-10-01,906,1,0,1
SINCROCIP,2010-11-01,840,0,0,1
SINCROCIP,2010-12-01,598,0,0,0
SINCROCIP,2011-01-01,670,0,0,0
SINCROCIP,2011-02-01,808,1,1,0
SINCROCIP,2011-03-01,549,0,0,0
SINCROCIP,2011-04-01,597,0,0,0
SINCROCIP,2011-05-01,637,0,0,0
SINCROCIP,2011-06-01,699,1,0,0
SINCROCIP,2011-07-01,649,0,0,0
SINCROCIP,2011-08-01,675,1,0,0
SINCROCIP,2011-09-01,783,0,0,1
SINCROCIP,2011-10-01,837,0,0,1
SINCROCIP,2011-11-01,941,1,0,1
SINCROCIP,2011-12-01,566,0,0,0
SINCROCIP,2012-01-01,618,0,0,0
SINCROCIP,2012-02-01,709,1,0,0
SINCROCIP,2012-03-01,591,0,0,0
SINCROCIP,2012-04-01,624,0,0,0
SINCROCIP,2012-05-01,570,0,0,0
SINCROCIP,2012-06-01,690,1,0,0
SINCROCIP,2012-07-01,552,0,0,0
SINCROCIP,2012-08-01,523,0,0,0
SINCROCIP,2012-09-01,814,0,0,1
SINCROCIP,2012-10-01,860,0,0,1
SINCROCIP,2012-11-01,830,0,0,1
SINCROCIP,2012-12-01,562,0,0,0
SINCROCIP,2013-01-01,597,0,0,0
SINCROCIP,2013-02-01,631,0,0,0
SINCROCIP,2013-03-01,545,0,0,0
SINCROCIP,2013-04-01,634,0,0,0
SINCROCIP,2013-05-01,676,0,0,0
SINCROCIP,2013-06-01,629,0,1,0
SINCROCIP,2013-07-01,688,1,0,0
SINCROCIP,2013-08-01,627,0,0,0
SINCROCIP,2013-09-01,848,0,0,1
SINCROCIP,2013-10-01,889,0,0,1
SINCROCIP,2013-11-01,801,0,0,1
SINCROCIP,2013-12-01,630,0,0,0
SINCROCIP,2014-01-01,730,1,0,0
SINCROCIP,2014-02-01,544,0,0,0
SINCROCIP,2014-03-01,736,1,0,0
SINCROCIP,2014-04-01,587,0,0,0
SINCROCIP,2014-05-01,542,0,0,0
SINCROCIP,2014-06-01,640,0,0,0
SINCROCIP,2014-07-01,551,0,0,0
