Fecha,OUR10002030,OUR10003726,OUR10003812,OUR10003803,OUR10003810,BIO130350,OUR10003727,OUR10002029,OUR10002973,BIO130868,OUR10003730,BIO130349,BIO130869,BIO130025,Promocion,Feria,Temporada_lluvia
jul-23,45,184,22,150,69,23,44,6,633,73,90,3,29,10,1,0,0
ago-23,24,89,24,68,49,24,250,4,16,152,256,24,18,32,0,0,0
sept-23,49,107,9,223,94,9,461,12,699,70,235,15,2,31,0,1,0
oct-23,21,187,17,94,138,53,282,14,699,220,66,13,2,25,1,1,0
nov-23,33,74,1,11,155,146,9,28,680,184,50,33,29,17,0,0,1
dic-23,12,83,38,310,242,108,368,3,600,261,493,100,7,38,1,0,1
ene-24,9,128,35,284,199,47,209,1,750,124,74,104,11,42,0,0,1
feb-24,34,33,24,8,205,112,29,3,690,273,4,124,4,22,1,0,1
mar-24,23,138,53,217,196,39,494,15,650,157,932,37,4,45,0,0,1
abr-24,9,92,56,213,122,168,406,3,1324,54,425,31,4,34,1,1,0
may-24,75,61,59,160,90,118,276,4,434,202,164,39,8,73,0,1,0
jun-24,29,94,50,308,169,111,419,14,698,203,384,54,39,54,0,1,0
jul-24,78,179,34,133,41,73,438,4,656,68,795,11,11,81,0,0,0
ago-24,35,44,36,55,58,85,221,26,236,192,146,14,11,65,0,0,0
sept-24,39,332,41,280,81,39,430,18,262,71,263,6,17,34,0,1,0
oct-24,132,538,61,353,121,154,1324,74,400,63,798,40,7,24,0,1,0
nov-24,122,188,46,334,67,84,305,42,459,157,515,88,9,47,1,0,1
dic-24,21,114,65,391,65,20,339,6,512,109,534,9,18,24,0,0,1
ene-25,35,593,30,291,79,56,462,57,1439,239,512,10,6,53,0,0,1
feb-25,12,305,28,153,50,34,284,4,1912,136,1193,40,24,33,1,0,1
mar-25,31,142,41,803,36,36,374,93,1411,603,793,2,10,29,0,0,1
abr-25,44,313,106,573,94,187,632,16,2226,148,845,31,18,38,0,0,0
may-25,101,181,195,229,429,59,386,9,0,542,180,20,22,56,0,1,0
jun-25,28,110,97,25,254,18,753,300,3,220,15,44,44,49,1,1,0
jul-25,23,165,40,10,87,12,337,12,0,357,114,37,13,60,0,0,0
ago-25,20,70,23,9,105,184,303,4,0,80,114,2,14,11,1,0,0
sept-25,50,173,98,60,40,7,194,6,953,146,418,3,12,59,0,1,0
oct-25,219,145,32,244,161,31,381,6,397,98,354,12,19,23,0,1,0
